date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2021-12-29 00:52:00,1.1307,1.1307,1.13074,1.1307,1.13084,1.13084,1.13086,1.13082,29
2021-12-29 00:53:00,1.1307,1.13078,1.13079,1.13069,1.13083,1.13091,1.13092,1.13082,43
2021-12-29 00:54:00,1.13077,1.1307,1.13077,1.1307,1.13091,1.13084,1.13091,1.13083,47
2021-12-29 00:55:00,1.13068,1.13063,1.13068,1.1306,1.13081,1.13077,1.13081,1.13073,26
2021-12-29 00:56:00,1.13063,1.13079,1.1308,1.13063,1.13078,1.13093,1.13094,1.13077,44
2021-12-29 00:57:00,1.13081,1.13091,1.13095,1.13081,1.13094,1.13104,1.13109,1.13094,61
2021-12-29 00:58:00,1.13091,1.13094,1.131,1.13091,1.13105,1.13106,1.13112,1.13105,46
2021-12-29 00:59:00,1.13094,1.13094,1.13096,1.13093,1.13107,1.13107,1.13108,1.13106,19
2021-12-29 01:00:00,1.13094,1.13099,1.13109,1.13094,1.13108,1.13113,1.13122,1.13108,78
2021-12-29 01:01:00,1.131,1.13105,1.13105,1.131,1.13113,1.13116,1.13118,1.13112,25
2021-12-29 01:02:00,1.13104,1.1311,1.13111,1.13103,1.13116,1.13123,1.13124,1.13116,30
2021-12-29 01:03:00,1.13109,1.13108,1.1311,1.13108,1.13123,1.13121,1.13123,1.13121,15
2021-12-29 01:04:00,1.13109,1.13105,1.1311,1.13104,1.13121,1.13118,1.13123,1.13118,21
2021-12-29 01:05:00,1.13105,1.13105,1.13105,1.13104,1.13119,1.13118,1.13119,1.13117,32
2021-12-29 01:06:00,1.13103,1.13102,1.13103,1.13099,1.13116,1.13115,1.13116,1.13113,24
2021-12-29 01:07:00,1.13101,1.13103,1.13106,1.13101,1.13115,1.13117,1.13119,1.13114,29
2021-12-29 01:08:00,1.13104,1.13102,1.13104,1.131,1.13117,1.13115,1.13117,1.13114,16
2021-12-29 01:09:00,1.13102,1.13094,1.13103,1.13094,1.13116,1.13108,1.13116,1.13107,35
2021-12-29 01:10:00,1.13095,1.13095,1.13099,1.13095,1.13108,1.13107,1.13113,1.13107,34
2021-12-29 01:11:00,1.13095,1.131,1.131,1.13095,1.13108,1.13113,1.13113,1.13108,23
2021-12-29 01:12:00,1.13099,1.13089,1.13099,1.13089,1.13113,1.13102,1.13113,1.13101,39
2021-12-29 01:13:00,1.1309,1.13091,1.13091,1.13089,1.13102,1.13103,1.13104,1.13102,11
2021-12-29 01:14:00,1.1309,1.13075,1.1309,1.1307,1.13102,1.13087,1.13103,1.13084,78
2021-12-29 01:15:00,1.13074,1.13069,1.13076,1.13068,1.13087,1.13081,1.13089,1.13079,51
2021-12-29 01:16:00,1.1307,1.13059,1.13071,1.13058,1.13081,1.1307,1.13083,1.13069,33
