,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-04 10:10:00,1.10028,1.10057,1.10004,31.22789034145964,,1.10056,BUY,1.10148,2022-03-04 10:26:00,TG,27.600000000000957
2022-03-04 10:37:00,1.10027,1.10047,1.10019,32.75678455054083,,1.10044,BUY,1.10024,2022-03-04 10:41:00,SLPR,-5.999999999999339
2022-03-04 11:19:00,1.0985,1.09881,1.09838,34.309678948111795,,1.09867,BUY,0.0,0,0,0.0
2022-03-04 11:40:00,1.09757,1.09762,1.09741,31.313405833396942,,1.09761,BUY,1.0976,2022-03-04 11:44:00,SLPR,-0.30000000000196536
2022-03-04 11:42:00,1.09744,1.09783,1.09742,38.712081400766955,,1.09769,BUY,1.09754,2022-03-04 11:58:00,SLPR,-4.500000000002835
2022-03-04 12:11:00,1.09681,1.09721,1.09658,39.856896990142374,,1.09718,BUY,0.0,0,0,0.0
2022-03-04 12:24:00,1.09651,1.09672,1.09651,31.825812744201627,,1.09658,BUY,0.0,0,0,0.0
2022-03-04 12:42:00,1.09579,1.09595,1.09575,36.527671603174966,,1.09592,BUY,0.0,0,0,0.0
2022-03-04 13:01:00,1.09384,1.09404,1.09384,30.952995525602745,,1.09391,BUY,1.09281,2022-03-04 13:09:00,SLPR,-32.99999999999636
2022-03-04 13:13:00,1.09271,1.09297,1.09244,31.26452769615942,,1.0929,BUY,1.09302,2022-03-04 13:35:00,TG,3.6000000000036003
2022-03-04 13:43:00,1.09018,1.09078,1.08997,32.998694223184216,,1.09072,BUY,1.09182,2022-03-04 14:16:00,TG,33.00000000000303
2022-03-04 13:53:00,1.08912,1.08942,1.08906,30.9605396135714,,1.08937,BUY,1.09096,2022-03-04 14:04:00,TG,47.699999999999406
2022-03-04 14:51:00,1.09003,1.09043,1.09001,38.87565458337959,,1.0904,BUY,1.08971,2022-03-04 14:56:00,SLPR,-20.700000000002383
2022-03-04 15:54:00,1.09231,1.09232,1.09179,67.50257211685064,,1.09195,SELL,0.0,0,0,0.0
2022-03-04 16:34:00,1.09089,1.09123,1.09088,36.98062743556433,,1.09106,BUY,1.09145,2022-03-04 16:46:00,TG,11.700000000003374
2022-03-04 17:17:00,1.09224,1.09227,1.09196,65.72298308623567,,1.09211,SELL,1.09231,2022-03-04 17:38:00,SLPR,-5.999999999999339
2022-03-04 18:10:00,1.09309,1.0931,1.09285,61.39094368044459,,1.09288,SELL,1.09324,2022-03-04 18:55:00,SLPR,-10.799999999997478
2022-03-04 18:55:00,1.09326,1.09329,1.09322,69.06676780600108,,1.09324,SELL,1.09275,2022-03-04 19:22:00,TG,14.699999999996383
2022-03-04 19:01:00,1.09337,1.09337,1.09284,43.56139387880464,DOWN_CROSSOVER,1.09288,SELL,1.0934,2022-03-04 19:31:00,SL,-15.599999999995617
2022-03-04 19:32:00,1.0934,1.09343,1.09331,69.36617079220943,,1.09339,SELL,1.09259,2022-03-04 19:50:00,TG,24.000000000004018
2022-03-04 19:47:00,1.09235,1.0925,1.09235,34.430677524626134,,1.0925,BUY,1.09196,2022-03-04 20:49:00,SLPR,-16.199999999999548
2022-03-04 20:00:00,1.09122,1.0915,1.09122,30.86470994828592,,1.09134,BUY,1.09215,2022-03-04 20:36:00,TG,24.299999999999322
2022-03-04 20:29:00,1.09245,1.09248,1.09226,67.5850893722255,,1.09237,SELL,1.09253,2022-03-04 20:41:00,SLPR,-4.799999999998139
2022-03-04 21:00:00,1.09337,1.0934,1.09305,66.58247735932363,,1.09315,SELL,1.09273,2022-03-04 21:25:00,TGP,12.60000000000261
