,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-02-17 07:54:00,1.13724,1.13724,1.13692,53.288279921501406,,1.13695,SELL,1.13682,2022-02-17 08:33:00,TG,3.8999999999989043
2022-02-17 08:22:00,1.13852,1.13855,1.13827,63.619842122515195,,1.13835,SELL,1.13682,2022-02-17 08:33:00,TG,45.900000000000944
2022-02-17 08:28:00,1.13681,1.13703,1.13643,31.097882249429887,,1.13699,BUY,1.13631,2022-02-17 08:38:00,SLPR,-20.400000000000418
2022-02-17 08:32:00,1.13565,1.13611,1.13538,30.119577990773237,,1.13608,BUY,1.13664,2022-02-17 08:34:00,TG,16.80000000000348
2022-02-17 09:12:00,1.13436,1.13475,1.13424,34.93793421269771,,1.13473,BUY,1.13556,2022-02-17 09:26:00,TG,24.89999999999659
2022-02-17 09:16:00,1.13432,1.13471,1.13432,41.49741808367827,,1.13468,BUY,1.13556,2022-02-17 09:26:00,TG,26.399999999999757
2022-02-17 09:59:00,1.13627,1.13638,1.13606,60.67840185385027,,1.13607,SELL,1.13658,2022-02-17 10:26:00,SLPR,-15.300000000000313
2022-02-17 10:29:00,1.13686,1.13686,1.13657,64.98907638140938,,1.13658,SELL,1.13704,2022-02-17 10:38:00,SLPR,-13.80000000000381
2022-02-17 10:40:00,1.137,1.13701,1.1368,66.59172992817756,,1.13692,SELL,1.13724,2022-02-17 10:54:00,SLPR,-9.60000000000294
2022-02-17 11:39:00,1.13647,1.13663,1.13646,30.181825673063997,,1.13651,BUY,1.1363,2022-02-17 11:49:00,SLPR,-6.299999999994643
2022-02-17 12:29:00,1.13751,1.13751,1.13729,62.725252340176006,,1.1374,SELL,1.1377,2022-02-17 12:59:00,SLPR,-8.999999999999009
2022-02-17 13:09:00,1.13675,1.13722,1.13672,45.17411277159669,,1.13721,BUY,1.13668,2022-02-17 13:12:00,SL,-15.900000000004244
2022-02-17 13:19:00,1.13602,1.13642,1.13601,36.70060393263513,,1.13633,BUY,1.13596,2022-02-17 13:47:00,SLPR,-11.099999999999444
2022-02-17 13:27:00,1.13586,1.13628,1.13584,46.88899782618371,,1.13625,BUY,1.13576,2022-02-17 13:54:00,SLPR,-14.699999999996383
2022-02-17 13:56:00,1.13521,1.13539,1.13511,31.26101658767169,,1.13539,BUY,1.13618,2022-02-17 13:58:00,TG,23.700000000002053
2022-02-17 15:14:00,1.13722,1.13724,1.13684,68.83701370363387,,1.13707,SELL,1.13629,2022-02-17 15:20:00,TG,23.400000000000087
2022-02-17 15:27:00,1.13545,1.13569,1.1354,33.167095254462595,,1.13561,BUY,1.13622,2022-02-17 15:45:00,TG,18.299999999999983
2022-02-17 16:16:00,1.13737,1.13741,1.1371,58.92905371708729,,1.13714,SELL,1.13635,2022-02-17 16:23:00,TG,23.700000000002053
2022-02-17 17:01:00,1.13594,1.13622,1.13593,37.50908122725324,,1.13618,BUY,1.13662,2022-02-17 17:22:00,TGP,13.199999999999878
2022-02-17 17:22:00,1.13672,1.1369,1.13659,65.0691846281168,,1.13662,SELL,1.13586,2022-02-17 17:59:00,TG,22.799999999996157
