,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-03-01 00:50:00,1.12052,1.12077,1.12051,43.179335086395234,,1.12069,BUY,1.12095,2022-03-01 00:55:00,TGP,7.799999999997809
1,2022-03-01 00:55:00,1.12126,1.12127,1.12081,53.20101567495084,,1.12095,SELL,1.12035,2022-03-01 01:43:00,TGP,17.999999999998018
2,2022-03-01 01:43:00,1.12024,1.1204,1.12024,34.95955515093188,,1.12035,BUY,0.0,0,0,0.0
3,2022-03-01 02:15:00,1.11943,1.11961,1.1194,32.97715046738759,,1.11954,BUY,1.1198,2022-03-01 03:10:00,TGP,7.799999999997809
4,2022-03-01 03:10:00,1.11992,1.11992,1.1198,56.819155946610685,,1.1198,SELL,1.11942,2022-03-01 03:17:00,TGP,11.399999999994748
5,2022-03-01 03:17:00,1.11942,1.11946,1.11938,31.302791275714355,,1.11942,BUY,1.1199,2022-03-01 03:27:00,TGP,14.399999999994417
6,2022-03-01 03:27:00,1.12005,1.12005,1.11987,57.46666489740443,,1.1199,SELL,1.11955,2022-03-01 03:38:00,TGP,10.499999999995513
7,2022-03-01 03:38:00,1.11949,1.11962,1.11949,36.60361365743754,,1.11955,BUY,1.11977,2022-03-01 04:43:00,TGP,6.599999999996609
8,2022-03-01 04:54:00,1.11984,1.11984,1.11983,67.78717754752168,,1.11983,SELL,1.1201,2022-03-01 05:04:00,SLPR,-8.099999999999774
9,2022-03-01 05:07:00,1.12023,1.12023,1.12014,69.53145900718442,,1.12014,SELL,1.11948,2022-03-01 05:44:00,TGP,19.799999999996487
10,2022-03-01 05:44:00,1.11938,1.1195,1.11937,32.047139421519944,,1.11948,BUY,1.11977,2022-03-01 06:29:00,TGP,8.699999999997043
11,2022-03-01 06:29:00,1.1199,1.11996,1.11977,59.38902296037264,,1.11977,SELL,0.0,0,0,0.0
12,2022-03-01 06:50:00,1.1207,1.1207,1.12056,69.32246836329134,,1.12056,SELL,1.12103,2022-03-01 07:05:00,SLPR,-14.099999999999113
13,2022-03-01 07:11:00,1.12139,1.12139,1.12099,58.06589180840027,,1.12104,SELL,0.0,0,0,0.0
14,2022-03-01 07:29:00,1.12217,1.1222,1.1219,59.08437914406059,,1.12191,SELL,1.12248,2022-03-01 07:51:00,SLPR,-17.099999999998783
15,2022-03-01 08:02:00,1.12314,1.12319,1.12261,57.03330565033135,,1.12263,SELL,1.1218,2022-03-01 08:06:00,TG,24.900000000003253
16,2022-03-01 08:19:00,1.12116,1.12139,1.12116,37.71221779047942,,1.12135,BUY,1.12213,2022-03-01 08:49:00,TG,23.400000000000087
17,2022-03-01 09:33:00,1.12147,1.1217,1.12147,31.568979780652896,,1.1216,BUY,0.0,0,0,0.0
18,2022-03-01 09:52:00,1.11934,1.11976,1.11929,30.917582886777225,,1.11956,BUY,1.11896,2022-03-01 10:04:00,SLPR,-18.00000000000468
19,2022-03-01 10:16:00,1.11755,1.11793,1.11746,33.241849576323105,,1.11791,BUY,1.11815,2022-03-01 10:50:00,TGP,7.200000000000539
20,2022-03-01 10:50:00,1.11841,1.11845,1.11812,65.8218240956677,,1.11815,SELL,1.11766,2022-03-01 11:03:00,TG,14.699999999996383
21,2022-03-01 11:56:00,1.11741,1.11788,1.11732,45.95271194854361,,1.11783,BUY,0.0,0,0,0.0
22,2022-03-01 12:16:00,1.11694,1.1171,1.11681,36.78270849878283,,1.1171,BUY,1.11676,2022-03-01 12:37:00,SLPR,-10.200000000000209
23,2022-03-01 12:41:00,1.11665,1.11688,1.11663,41.70657652240629,,1.11685,BUY,0.0,0,0,0.0
24,2022-03-01 12:55:00,1.11578,1.11604,1.11561,36.92585246421244,,1.11603,BUY,1.11539,2022-03-01 13:16:00,SLPR,-19.199999999999218
25,2022-03-01 13:21:00,1.11469,1.11511,1.11465,32.41196375581923,,1.11505,BUY,1.11585,2022-03-01 13:33:00,TG,23.999999999997357
26,2022-03-01 14:14:00,1.11446,1.11464,1.11425,33.53292054160433,,1.11461,BUY,1.11529,2022-03-01 14:20:00,TG,20.399999999993756
27,2022-03-01 15:13:00,1.11285,1.11317,1.11284,32.70977328310464,,1.1131,BUY,1.11406,2022-03-01 15:18:00,TG,28.800000000002157
28,2022-03-01 16:29:00,1.11105,1.11154,1.11098,38.69612386504853,,1.11154,BUY,1.11099,2022-03-01 17:38:00,SL,-16.500000000001513
29,2022-03-01 17:38:00,1.11164,1.11166,1.11099,53.08934850792675,,1.11099,SELL,1.11076,2022-03-01 18:02:00,TGP,6.899999999998574
30,2022-03-01 18:02:00,1.11071,1.1108,1.11045,31.63212422663524,,1.11076,BUY,1.11048,2022-03-01 18:11:00,SLPR,-8.40000000000174
31,2022-03-01 18:29:00,1.10988,1.11006,1.10985,35.62718102953002,,1.11001,BUY,1.11211,2022-03-01 18:48:00,TG,62.99999999999972
32,2022-03-01 19:37:00,1.11308,1.1131,1.11291,68.24736412111233,,1.11292,SELL,1.11209,2022-03-01 19:55:00,TG,24.89999999999659
33,2022-03-01 19:55:00,1.11194,1.11214,1.1119,34.92629846903331,,1.11209,BUY,1.11302,2022-03-01 20:05:00,TG,27.89999999999626
34,2022-03-01 20:23:00,1.11182,1.11221,1.11182,42.42213092626365,,1.11214,BUY,1.11293,2022-03-01 20:57:00,TG,23.700000000002053
35,2022-03-01 20:59:00,1.11322,1.11324,1.11298,62.79964491842917,,1.11299,SELL,1.11214,2022-03-01 22:13:00,TG,25.500000000000522
36,2022-03-01 22:13:00,1.11213,1.11214,1.11213,41.682430658071674,,1.11214,BUY,1.11182,2022-03-01 22:56:00,SLPR,-9.599999999996278
37,2022-03-01 22:58:00,1.1119,1.11209,1.1119,38.20148718611519,,1.11202,BUY,1.11259,2022-03-01 23:28:00,TGP,17.099999999998783
38,2022-03-01 23:28:00,1.11265,1.11265,1.11259,64.68111001542155,,1.11259,SELL,1.11241,2022-03-02 00:03:00,TGP,5.40000000000207
39,2022-03-02 00:05:00,1.11211,1.11253,1.11211,44.537221979491655,,1.11251,BUY,1.11307,2022-03-02 00:25:00,TGP,16.799999999996817
40,2022-03-02 00:46:00,1.11242,1.11255,1.11241,38.449906444014026,,1.11249,BUY,1.11223,2022-03-02 01:07:00,SLPR,-7.799999999997809
41,2022-03-02 01:18:00,1.11273,1.11273,1.11263,62.448597204917796,,1.11267,SELL,1.11268,2022-03-02 01:49:00,TGP,-0.299999999995304
42,2022-03-02 01:49:00,1.1125,1.11268,1.11249,42.074391519815535,,1.11268,BUY,1.11234,2022-03-02 02:15:00,SLPR,-10.199999999993548
