,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl,diff
2022-03-03 02:28:00,1.10987,1.10989,1.10982,1.1096525,1.109479375,69.00339379408447,,,1.10987,SELL,1.10982,2022-03-03 03:20:00,TGP,1.4999999999965041,0 days 00:52:00
2022-03-03 03:13:00,1.10986,1.11003,1.10986,1.11008375,1.110283125,37.04406624004135,,,1.11002,BUY,1.11005,2022-03-03 04:07:00,TGP,0.8999999999992347,0 days 00:54:00
2022-03-03 04:07:00,1.11014,1.11015,1.10998,1.1101075,1.1099275,60.32208283787198,,,1.11005,SELL,1.10982,2022-03-03 04:35:00,TGP,6.899999999998574,0 days 00:28:00
2022-03-03 05:16:00,1.11029,1.11029,1.11017,1.11025,1.1100693750000001,65.7135258656078,,,1.11022,SELL,1.10961,2022-03-03 06:12:00,TGP,18.299999999999983,0 days 00:56:00
2022-03-03 06:12:00,1.10948,1.10966,1.10948,1.1097424999999999,1.10997625,30.015826867203288,,,1.10961,BUY,1.10993,2022-03-03 06:41:00,TGP,9.60000000000294,0 days 00:29:00
2022-03-03 06:41:00,1.11013,1.11015,1.10992,1.1098775,1.109719375,56.95396898520074,,,1.10993,SELL,1.10963,2022-03-03 07:18:00,TGP,9.00000000000567,0 days 00:37:00
2022-03-03 06:58:00,1.11048,1.11048,1.11032,1.11025625,1.1101106250000001,63.78597609223429,,,1.11035,SELL,1.10963,2022-03-03 07:18:00,TGP,21.600000000001618,0 days 00:20:00
2022-03-03 07:18:00,1.10959,1.10964,1.10953,1.1099125,1.11014,30.53578709055091,,,1.10963,BUY,1.10918,2022-03-03 07:46:00,SLPR,-13.499999999995183,0 days 00:28:00
2022-03-03 08:34:00,1.10872,1.10896,1.10869,1.1093375,1.109480625,32.86115975384777,,,1.10884,BUY,1.10839,2022-03-03 08:46:00,SLPR,-13.500000000001844,0 days 00:12:00
2022-03-03 08:52:00,1.1082,1.10864,1.10819,1.10845375,1.1087875,44.22673983160791,,,1.10858,BUY,1.10764,2022-03-03 09:20:00,SLPR,-28.199999999998226,0 days 00:28:00
2022-03-03 09:21:00,1.10765,1.10802,1.10765,1.1082525,1.108306875,37.41754779303436,,,1.10795,BUY,1.10739,2022-03-03 09:29:00,SLPR,-16.799999999996817,0 days 00:08:00
