date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-06-02 08:19:00,1.06889,1.06903,1.06907,1.06889,1.06901,1.06915,1.0692,1.06901,243
2022-06-02 08:20:00,1.06903,1.06907,1.06908,1.06897,1.06916,1.06921,1.06922,1.0691,158
2022-06-02 08:21:00,1.06906,1.06912,1.06914,1.06903,1.06919,1.06926,1.06928,1.06916,120
2022-06-02 08:22:00,1.06913,1.0688,1.06915,1.0688,1.06927,1.06894,1.06929,1.06894,136
2022-06-02 08:23:00,1.06881,1.06868,1.06887,1.06867,1.06894,1.06881,1.069,1.0688,136
2022-06-02 08:24:00,1.06869,1.06862,1.06869,1.0686,1.06881,1.06874,1.06882,1.06872,73
2022-06-02 08:25:00,1.06859,1.06867,1.06868,1.06854,1.06871,1.06879,1.06881,1.06866,90
2022-06-02 08:26:00,1.06867,1.06859,1.0687,1.06856,1.0688,1.06873,1.06882,1.06871,64
2022-06-02 08:27:00,1.06858,1.06855,1.06863,1.06854,1.06872,1.06868,1.06876,1.06868,59
2022-06-02 08:28:00,1.06854,1.06844,1.06855,1.06841,1.06868,1.06858,1.06869,1.06855,79
2022-06-02 08:29:00,1.06845,1.06861,1.06867,1.06843,1.06858,1.06873,1.06879,1.06857,121
2022-06-02 08:30:00,1.06861,1.06863,1.06874,1.06852,1.06874,1.06875,1.06887,1.06866,155
2022-06-02 08:31:00,1.06862,1.06889,1.06889,1.06861,1.06875,1.06903,1.06903,1.06875,152
2022-06-02 08:32:00,1.0689,1.06891,1.06898,1.06889,1.06903,1.06905,1.06911,1.06902,93
2022-06-02 08:33:00,1.06891,1.06912,1.06912,1.06889,1.06904,1.06927,1.06927,1.06903,130
2022-06-02 08:34:00,1.06914,1.06931,1.06932,1.06912,1.06928,1.06943,1.06945,1.06925,160
2022-06-02 08:35:00,1.06931,1.06925,1.06946,1.06925,1.06944,1.06937,1.06958,1.06937,243
2022-06-02 08:36:00,1.06925,1.06919,1.06925,1.06915,1.06938,1.06932,1.06938,1.06928,53
2022-06-02 08:37:00,1.06919,1.06922,1.06926,1.06911,1.06933,1.06934,1.06939,1.06926,78
2022-06-02 08:38:00,1.06922,1.06907,1.06929,1.06907,1.06935,1.06921,1.06941,1.0692,165
2022-06-02 08:39:00,1.06907,1.06907,1.06913,1.06904,1.0692,1.06921,1.06926,1.06918,98
2022-06-02 08:40:00,1.06908,1.0691,1.06915,1.06905,1.06921,1.06923,1.06928,1.0692,85
2022-06-02 08:41:00,1.06909,1.06911,1.06915,1.06908,1.06923,1.06923,1.06927,1.06922,67
2022-06-02 08:42:00,1.06911,1.06912,1.06918,1.06907,1.06924,1.06924,1.06931,1.06921,111
2022-06-02 08:43:00,1.0691,1.06912,1.06917,1.06907,1.06924,1.06925,1.06929,1.06921,90
2022-06-02 08:44:00,1.06912,1.06903,1.0693,1.06903,1.06926,1.06918,1.06944,1.06918,155
2022-06-02 08:45:00,1.06903,1.06897,1.06904,1.06893,1.06917,1.06911,1.06918,1.06908,100
2022-06-02 08:46:00,1.06896,1.06917,1.06917,1.06896,1.0691,1.06929,1.0693,1.0691,99
2022-06-02 08:47:00,1.06917,1.0692,1.0693,1.06916,1.0693,1.06934,1.06943,1.06929,103
2022-06-02 08:48:00,1.06921,1.06922,1.06926,1.0692,1.06934,1.06934,1.06939,1.06932,70
2022-06-02 08:49:00,1.06921,1.06887,1.06921,1.06887,1.06934,1.06901,1.06934,1.06899,117
2022-06-02 08:50:00,1.06887,1.06892,1.06896,1.06881,1.069,1.06905,1.06909,1.06893,172
2022-06-02 08:51:00,1.06891,1.06895,1.06897,1.06885,1.06905,1.0691,1.0691,1.069,92
2022-06-02 08:52:00,1.06895,1.06919,1.06919,1.06889,1.06909,1.06932,1.06932,1.06903,98
2022-06-02 08:53:00,1.06919,1.06884,1.06919,1.0688,1.06931,1.06897,1.06931,1.06893,166
2022-06-02 08:54:00,1.06884,1.06882,1.06891,1.0688,1.06896,1.06896,1.06905,1.06893,119
2022-06-02 08:55:00,1.06882,1.06871,1.06889,1.06867,1.06895,1.06884,1.06902,1.06879,133
2022-06-02 08:56:00,1.06871,1.06858,1.06871,1.06858,1.06883,1.0687,1.06885,1.0687,56
2022-06-02 08:57:00,1.06858,1.06841,1.06863,1.06841,1.06871,1.06856,1.06878,1.06855,214
2022-06-02 08:58:00,1.06842,1.06851,1.06861,1.06842,1.06856,1.06863,1.06876,1.06856,307
2022-06-02 08:59:00,1.0685,1.06831,1.06866,1.06831,1.06863,1.06847,1.06879,1.06847,219
2022-06-02 09:00:00,1.06832,1.0683,1.06838,1.06829,1.06846,1.06843,1.0685,1.06842,210
2022-06-02 09:01:00,1.06831,1.06827,1.06835,1.06824,1.06843,1.0684,1.0685,1.06839,181
2022-06-02 09:02:00,1.06825,1.0683,1.06838,1.06824,1.06839,1.06842,1.06851,1.06837,173
2022-06-02 09:03:00,1.06829,1.06836,1.06837,1.06811,1.06842,1.06848,1.0685,1.06823,167
2022-06-02 09:04:00,1.06835,1.06822,1.06841,1.06822,1.06848,1.06834,1.06853,1.06834,95
2022-06-02 09:05:00,1.06821,1.06822,1.06826,1.0682,1.06834,1.06834,1.06838,1.06833,105
2022-06-02 09:06:00,1.06821,1.06816,1.06827,1.06811,1.06834,1.06829,1.0684,1.06825,93
2022-06-02 09:07:00,1.06815,1.06808,1.06816,1.06806,1.06829,1.06821,1.0683,1.0682,68
2022-06-02 09:08:00,1.06809,1.06806,1.06812,1.06803,1.06822,1.0682,1.06825,1.06815,62
2022-06-02 09:09:00,1.06806,1.06816,1.0682,1.06806,1.06821,1.0683,1.06834,1.06821,102
2022-06-02 09:10:00,1.06817,1.06823,1.06826,1.06813,1.0683,1.06836,1.06839,1.06828,87
2022-06-02 09:11:00,1.06823,1.06837,1.06839,1.06822,1.06837,1.06849,1.06852,1.06836,97
2022-06-02 09:12:00,1.06836,1.06822,1.06838,1.06819,1.06849,1.06837,1.06851,1.06833,166
2022-06-02 09:13:00,1.06822,1.06848,1.06849,1.06822,1.06836,1.06861,1.06863,1.06836,155
2022-06-02 09:14:00,1.0685,1.0685,1.06855,1.06839,1.06863,1.06862,1.06868,1.06851,109
2022-06-02 09:15:00,1.06852,1.06861,1.06866,1.0685,1.06865,1.06873,1.06878,1.06862,111
2022-06-02 09:16:00,1.0686,1.06857,1.06865,1.06854,1.06873,1.0687,1.06878,1.06866,73
2022-06-02 09:17:00,1.06858,1.06876,1.06876,1.06857,1.0687,1.06888,1.06889,1.06869,123
2022-06-02 09:18:00,1.06875,1.06879,1.06883,1.06875,1.06889,1.06892,1.06896,1.06887,58
2022-06-02 09:19:00,1.06879,1.06877,1.06903,1.06877,1.06891,1.06891,1.06916,1.0689,203
2022-06-02 09:20:00,1.06876,1.06871,1.06884,1.06871,1.06891,1.06884,1.06896,1.06884,68
2022-06-02 09:21:00,1.06871,1.06871,1.06872,1.06866,1.06883,1.06883,1.06885,1.06878,74
2022-06-02 09:22:00,1.06871,1.0688,1.06883,1.0687,1.06884,1.06894,1.06896,1.06883,87
2022-06-02 09:23:00,1.06881,1.06893,1.06894,1.0688,1.06894,1.06906,1.06907,1.06894,86
2022-06-02 09:24:00,1.06893,1.06889,1.06893,1.06886,1.06905,1.06901,1.06905,1.06898,72
2022-06-02 09:25:00,1.06889,1.06889,1.06894,1.06886,1.06902,1.06901,1.06907,1.06899,76
2022-06-02 09:26:00,1.06889,1.06884,1.06889,1.06878,1.06902,1.06896,1.06902,1.06891,119
2022-06-02 09:27:00,1.06884,1.0689,1.06895,1.06884,1.06897,1.06903,1.06908,1.06897,153
2022-06-02 09:28:00,1.0689,1.06881,1.06893,1.06879,1.06902,1.06894,1.06905,1.06891,124
2022-06-02 09:29:00,1.06881,1.06882,1.06886,1.06875,1.06895,1.06895,1.06899,1.06888,87
2022-06-02 09:30:00,1.06882,1.06894,1.06896,1.06878,1.06894,1.06907,1.06909,1.06891,94
2022-06-02 09:31:00,1.06894,1.06889,1.06903,1.06887,1.06906,1.06901,1.06917,1.06901,122
2022-06-02 09:32:00,1.06888,1.06865,1.06888,1.06864,1.06901,1.06878,1.06902,1.06878,123
2022-06-02 09:33:00,1.06864,1.06861,1.06872,1.06859,1.06877,1.06874,1.06886,1.06871,154
2022-06-02 09:34:00,1.06862,1.06858,1.06865,1.06858,1.06874,1.06871,1.06878,1.06871,58
2022-06-02 09:35:00,1.06859,1.06876,1.06878,1.06859,1.06872,1.0689,1.06892,1.06872,99
2022-06-02 09:36:00,1.06877,1.06872,1.06877,1.06866,1.06891,1.06886,1.06891,1.06882,64
2022-06-02 09:37:00,1.06872,1.06861,1.06875,1.06861,1.06885,1.06876,1.06889,1.06876,98
2022-06-02 09:38:00,1.06861,1.0684,1.06863,1.06839,1.06875,1.06852,1.06877,1.06852,125
2022-06-02 09:39:00,1.0684,1.06872,1.06872,1.0684,1.06853,1.06884,1.06885,1.06852,154
2022-06-02 09:40:00,1.06871,1.06869,1.06873,1.06864,1.06885,1.06881,1.06885,1.06877,67
2022-06-02 09:41:00,1.06868,1.06844,1.06868,1.06843,1.06881,1.06859,1.06881,1.06856,107
2022-06-02 09:42:00,1.06845,1.06835,1.06848,1.06832,1.0686,1.06848,1.06861,1.06845,106
2022-06-02 09:43:00,1.06836,1.06836,1.06845,1.06833,1.06849,1.06849,1.06857,1.06845,118
2022-06-02 09:44:00,1.06836,1.06843,1.06843,1.06834,1.0685,1.06856,1.06856,1.06848,83
2022-06-02 09:45:00,1.06843,1.06861,1.06864,1.06842,1.06857,1.06874,1.06876,1.06856,84
2022-06-02 09:46:00,1.06861,1.06868,1.0687,1.06859,1.06873,1.06881,1.06882,1.06871,68
2022-06-02 09:47:00,1.06868,1.06858,1.06874,1.06856,1.06882,1.06873,1.06887,1.0687,97
2022-06-02 09:48:00,1.06858,1.06863,1.06871,1.06856,1.06872,1.06876,1.06885,1.06871,231
2022-06-02 09:49:00,1.06863,1.0687,1.06877,1.06863,1.06877,1.06882,1.06892,1.06876,110
2022-06-02 09:50:00,1.06869,1.0687,1.06871,1.06863,1.06882,1.06883,1.06884,1.06877,55
2022-06-02 09:51:00,1.06871,1.06871,1.06871,1.06865,1.06883,1.06883,1.06884,1.06878,53
2022-06-02 09:52:00,1.0687,1.06869,1.06871,1.06867,1.06883,1.06881,1.06884,1.06879,112
2022-06-02 09:53:00,1.06869,1.06852,1.06869,1.06849,1.06882,1.06864,1.06882,1.06861,122
2022-06-02 09:54:00,1.06851,1.06852,1.06858,1.0685,1.06864,1.06864,1.0687,1.06863,119
2022-06-02 09:55:00,1.06851,1.06846,1.06852,1.06842,1.06864,1.06858,1.06865,1.06856,134
2022-06-02 09:56:00,1.06845,1.06853,1.06854,1.06844,1.06858,1.06865,1.06867,1.06857,95
