,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl
2021-12-01 10:25:00,1.13245,1.13252,1.1324,1.13278375,1.133136875,31.660891892457002,,,1.13252,BUY,1.13221,2021-12-01 10:42:00,SLPR,-9.300000000000974
2021-12-01 11:02:00,1.1328,1.13289,1.13272,1.13254,1.1322875,67.02029287903733,,,1.13274,SELL,1.13241,2021-12-01 11:55:00,TGP,9.900000000004905
2021-12-01 11:19:00,1.13334,1.13335,1.1331,1.133065,1.1330175,58.93778844141955,,,1.13312,SELL,1.13241,2021-12-01 11:55:00,TG,21.299999999999653
2021-12-01 11:55:00,1.13227,1.13241,1.13226,1.1323812500000001,1.132583125,39.842699452125444,,,1.13241,BUY,1.13245,2021-12-01 13:25:00,TGP,1.2000000000012
2021-12-01 13:00:00,1.13126,1.13171,1.13126,1.1316074999999999,1.13190125,39.62729173062655,,,1.13156,BUY,1.13213,2021-12-01 13:21:00,TG,17.100000000005444
2021-12-01 13:21:00,1.13225,1.13256,1.13208,1.13194,1.131718125,66.31074732818938,,,1.13213,SELL,1.13269,2021-12-01 13:24:00,SL,-16.799999999996817
2021-12-01 14:24:00,1.1343,1.13435,1.13419,1.13397875,1.133791875,66.98575608232761,,,1.13419,SELL,1.13471,2021-12-01 14:33:00,SLPR,-15.600000000002279
2021-12-01 14:47:00,1.13544,1.13545,1.13489,1.1349725,1.1347924999999999,58.92041060004014,,,1.13503,SELL,1.13559,2021-12-01 15:05:00,SL,-16.80000000000348
2021-12-01 15:17:00,1.13376,1.13394,1.1337,1.13437125,1.1348387500000001,30.64809696816954,,,1.1339,BUY,1.13453,2021-12-01 15:36:00,TG,18.900000000003914
2021-12-01 15:40:00,1.13496,1.13504,1.13479,1.134625,1.134369375,65.56766653228013,,,1.13483,SELL,1.13402,2021-12-01 15:47:00,TG,24.299999999999322
2021-12-01 15:50:00,1.13371,1.13393,1.13371,1.13412625,1.134446875,30.332064627005778,,,1.13377,BUY,1.13363,2021-12-01 15:56:00,SLPR,-4.20000000000087
2021-12-01 16:07:00,1.13246,1.13273,1.13245,1.13277375,1.133235,32.938120354429216,,,1.13269,BUY,1.13233,2021-12-01 16:23:00,SLPR,-10.799999999997478
2021-12-01 17:07:00,1.13165,1.13171,1.13155,1.131855,1.132055625,30.7463809714056,,,1.13167,BUY,1.1323,2021-12-01 17:49:00,TGP,18.900000000003914
2021-12-01 17:10:00,1.13149,1.1317,1.13149,1.1316575,1.13195875,36.71523987020046,,,1.13165,BUY,1.1323,2021-12-01 17:49:00,TGP,19.500000000001183
2021-12-01 17:40:00,1.13165,1.13184,1.13165,1.13181875,1.132025625,41.08971881039831,,,1.1318,BUY,1.1323,2021-12-01 17:49:00,TGP,15.00000000000501
2021-12-01 17:49:00,1.13232,1.1324,1.13224,1.13214,1.13196375,68.71709992657212,,,1.1323,SELL,1.13199,2021-12-01 18:44:00,TGP,9.300000000000974
2021-12-01 17:58:00,1.13264,1.13265,1.13251,1.1325862500000001,1.1323925000000001,60.29051383680447,,,1.13252,SELL,1.13199,2021-12-01 18:44:00,TGP,15.899999999997583
2021-12-01 18:44:00,1.13179,1.132,1.13176,1.1320475,1.1320925000000002,42.5825144857564,,,1.13199,BUY,1.13271,2021-12-01 19:03:00,TG,21.600000000001618
2021-12-01 19:03:00,1.13287,1.13287,1.1327,1.13269875,1.1324775,62.67228369483633,,,1.13271,SELL,1.13179,2021-12-01 19:18:00,TG,27.600000000000957
2021-12-01 19:18:00,1.13164,1.13179,1.13164,1.1318300000000001,1.1321525000000001,33.950063006530016,,,1.13179,BUY,1.13203,2021-12-01 19:53:00,TGP,7.200000000000539
2021-12-01 19:53:00,1.13224,1.13225,1.132,1.13191125,1.1318249999999999,60.79501898729052,,,1.13203,SELL,1.13123,2021-12-01 20:11:00,TG,24.000000000004018
2021-12-01 20:11:00,1.13115,1.13123,1.13105,1.131305,1.131529375,33.165223050987535,,,1.13123,BUY,1.13093,2021-12-01 20:51:00,SLPR,-8.999999999999009
2021-12-01 22:37:00,1.13203,1.13204,1.13197,1.13203,1.131839375,68.29359010328498,,,1.13201,SELL,1.13155,2021-12-01 22:55:00,TGP,13.799999999997148
2021-12-01 22:55:00,1.13151,1.13169,1.13144,1.1316937500000002,1.13182625,33.456811612751196,,,1.13155,BUY,1.13192,2021-12-01 23:41:00,TGP,11.099999999999444
2021-12-01 22:57:00,1.13143,1.13146,1.13143,1.13157125,1.131750625,30.299107746934354,,,1.13145,BUY,1.13192,2021-12-01 23:41:00,TGP,14.099999999999113
2021-12-01 23:41:00,1.13196,1.13196,1.13191,1.13191875,1.13184375,60.802097244992396,,,1.13192,SELL,1.13163,2021-12-02 00:15:00,TGP,8.700000000003705
2021-12-02 01:44:00,1.13243,1.13245,1.13238,1.13231375,1.132284375,63.13765482831604,,,1.13238,SELL,1.13299,2021-12-02 02:01:00,SL,-18.299999999999983
2021-12-02 03:33:00,1.1331,1.13314,1.13308,1.1331875,1.133274375,35.66867062797803,,,1.13314,BUY,1.13262,2021-12-02 04:24:00,SL,-15.600000000002279
2021-12-02 04:38:00,1.13242,1.1326,1.13242,1.132465,1.132496875,55.33504162732734,UP_CROSSOVER,,1.1326,BUY,1.13207,2021-12-02 05:04:00,SL,-15.900000000004244
2021-12-02 05:55:00,1.13191,1.13191,1.13185,1.1318075,1.131729375,66.00581283673579,,,1.13188,SELL,1.13155,2021-12-02 07:25:00,TGP,9.899999999998244
2021-12-02 06:09:00,1.13218,1.13218,1.13206,1.13206625,1.131945,63.02319484436781,,,1.13208,SELL,1.13155,2021-12-02 07:25:00,TGP,15.899999999997583
