,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-01 00:55:00,1.12126,1.12127,1.12081,53.20101567495084,,1.12095,SELL,1.12035,2022-03-01 01:43:00,TGP,17.999999999998018
2022-03-01 01:34:00,1.12085,1.12085,1.12071,60.17274806784519,,1.12074,SELL,1.12035,2022-03-01 01:43:00,TGP,11.700000000003374
2022-03-01 01:43:00,1.12024,1.1204,1.12024,34.95955515093188,,1.12035,BUY,0.0,0,0,0.0
2022-03-01 02:15:00,1.11943,1.11961,1.1194,32.97715046738759,,1.11954,BUY,1.1198,2022-03-01 03:10:00,TGP,7.799999999997809
2022-03-01 03:10:00,1.11992,1.11992,1.1198,56.819155946610685,,1.1198,SELL,1.11942,2022-03-01 03:17:00,TGP,11.399999999994748
2022-03-01 03:17:00,1.11942,1.11946,1.11938,31.302791275714355,,1.11942,BUY,1.1199,2022-03-01 03:27:00,TGP,14.399999999994417
2022-03-01 03:27:00,1.12005,1.12005,1.11987,57.46666489740443,,1.1199,SELL,1.11955,2022-03-01 03:38:00,TGP,10.499999999995513
2022-03-01 03:38:00,1.11949,1.11962,1.11949,36.60361365743754,,1.11955,BUY,1.11977,2022-03-01 04:43:00,TGP,6.599999999996609
2022-03-01 04:05:00,1.11913,1.11919,1.11913,38.0515282739007,,1.11918,BUY,1.11956,2022-03-01 04:21:00,TGP,11.400000000001409
2022-03-01 04:21:00,1.11959,1.11959,1.11956,69.40069959385242,,1.11956,SELL,1.11948,2022-03-01 05:44:00,TGP,2.4000000000024
2022-03-01 04:54:00,1.11984,1.11984,1.11983,67.78717754752168,,1.11983,SELL,1.1201,2022-03-01 05:04:00,SLPR,-8.099999999999774
2022-03-01 05:44:00,1.11938,1.1195,1.11937,32.047139421519944,,1.11948,BUY,1.11977,2022-03-01 06:29:00,TGP,8.699999999997043
2022-03-01 06:29:00,1.1199,1.11996,1.11977,59.38902296037264,,1.11977,SELL,0.0,0,0,0.0
2022-03-01 06:50:00,1.1207,1.1207,1.12056,69.32246836329134,,1.12056,SELL,1.12103,2022-03-01 07:05:00,SLPR,-14.099999999999113
2022-03-01 08:19:00,1.12116,1.12139,1.12116,37.71221779047942,,1.12135,BUY,1.12213,2022-03-01 08:49:00,TG,23.400000000000087
2022-03-01 08:39:00,1.12221,1.12224,1.12212,67.22341931309965,,1.12212,SELL,1.1226,2022-03-01 08:59:00,SLPR,-14.400000000001079
2022-03-01 09:33:00,1.12147,1.1217,1.12147,31.568979780652896,,1.1216,BUY,0.0,0,0,0.0
2022-03-01 09:52:00,1.11934,1.11976,1.11929,30.917582886777225,,1.11956,BUY,1.11896,2022-03-01 10:04:00,SLPR,-18.00000000000468
2022-03-01 10:50:00,1.11841,1.11845,1.11812,65.8218240956677,,1.11815,SELL,1.11766,2022-03-01 11:03:00,TG,14.699999999996383
2022-03-01 10:53:00,1.11856,1.11859,1.1182,60.93195903499243,,1.11822,SELL,1.11754,2022-03-01 11:02:00,TG,20.400000000000418
2022-03-01 11:56:00,1.11741,1.11788,1.11732,45.95271194854361,,1.11783,BUY,0.0,0,0,0.0
2022-03-01 12:16:00,1.11694,1.1171,1.11681,36.78270849878283,,1.1171,BUY,1.11676,2022-03-01 12:37:00,SLPR,-10.200000000000209
2022-03-01 13:24:00,1.11422,1.11472,1.11417,35.66351135933432,,1.11468,BUY,1.11547,2022-03-01 13:30:00,TG,23.700000000002053
2022-03-01 14:14:00,1.11446,1.11464,1.11425,33.53292054160433,,1.11461,BUY,1.11529,2022-03-01 14:20:00,TG,20.399999999993756
2022-03-01 15:13:00,1.11285,1.11317,1.11284,32.70977328310464,,1.1131,BUY,1.11406,2022-03-01 15:18:00,TG,28.800000000002157
2022-03-01 16:29:00,1.11105,1.11154,1.11098,38.69612386504853,,1.11154,BUY,1.11099,2022-03-01 17:38:00,SL,-16.500000000001513
2022-03-01 17:10:00,1.10892,1.10956,1.10891,39.12477265815412,,1.10949,BUY,1.11041,2022-03-01 17:18:00,TG,27.599999999994296
2022-03-01 17:38:00,1.11164,1.11166,1.11099,53.08934850792675,,1.11099,SELL,1.11076,2022-03-01 18:02:00,TGP,6.899999999998574
2022-03-01 17:52:00,1.11232,1.11233,1.11218,67.14077535786537,,1.11221,SELL,1.1112,2022-03-01 17:56:00,TG,30.29999999999866
