date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-03-01 00:50:00,1.12052,1.12069,1.12077,1.12051,1.12064,1.12082,1.12089,1.12064,113
2022-03-01 00:51:00,1.1207,1.12075,1.12075,1.12053,1.12082,1.12087,1.12088,1.12065,110
2022-03-01 00:52:00,1.12075,1.12084,1.12086,1.12069,1.12088,1.12098,1.121,1.12083,94
2022-03-01 00:53:00,1.12085,1.12104,1.12105,1.12085,1.12098,1.12117,1.12118,1.12098,108
2022-03-01 00:54:00,1.12103,1.12127,1.12138,1.12093,1.12117,1.12139,1.12151,1.12107,291
2022-03-01 00:55:00,1.12126,1.12095,1.12127,1.12081,1.12139,1.12108,1.12141,1.12096,344
2022-03-01 00:56:00,1.12095,1.12068,1.12097,1.12068,1.12109,1.12082,1.12111,1.12082,94
2022-03-01 00:57:00,1.12069,1.12067,1.12069,1.12053,1.12082,1.12079,1.12082,1.12066,96
2022-03-01 00:58:00,1.12066,1.12063,1.12067,1.1206,1.12079,1.12076,1.12079,1.12073,35
2022-03-01 00:59:00,1.12064,1.1205,1.12069,1.12049,1.12076,1.12063,1.12081,1.12062,54
2022-03-01 01:00:00,1.12049,1.12063,1.12073,1.12048,1.12062,1.12076,1.12086,1.12062,105
2022-03-01 01:01:00,1.12063,1.12065,1.12071,1.12063,1.12075,1.12078,1.12084,1.12075,69
2022-03-01 01:02:00,1.12067,1.1206,1.12067,1.12059,1.1208,1.12073,1.1208,1.12072,59
2022-03-01 01:03:00,1.1206,1.12037,1.1206,1.12036,1.12072,1.12049,1.12073,1.12048,73
2022-03-01 01:04:00,1.12037,1.12036,1.12045,1.12031,1.1205,1.12051,1.12058,1.12046,115
2022-03-01 01:05:00,1.12037,1.12044,1.12044,1.12037,1.12051,1.12056,1.12057,1.12051,52
2022-03-01 01:06:00,1.12043,1.12038,1.12047,1.12035,1.12056,1.12051,1.12059,1.12049,75
2022-03-01 01:07:00,1.12037,1.1204,1.12041,1.12022,1.1205,1.12054,1.12055,1.12036,96
2022-03-01 01:08:00,1.12041,1.12045,1.1206,1.12041,1.12056,1.12057,1.12074,1.12055,105
2022-03-01 01:09:00,1.12043,1.1204,1.12047,1.1204,1.12057,1.12054,1.12061,1.12054,36
2022-03-01 01:10:00,1.12042,1.12039,1.12044,1.12035,1.12055,1.12052,1.12056,1.12047,31
2022-03-01 01:11:00,1.12038,1.12035,1.12042,1.12034,1.12052,1.12047,1.12054,1.12047,54
2022-03-01 01:12:00,1.12035,1.12033,1.12037,1.12032,1.12048,1.12046,1.1205,1.12045,50
2022-03-01 01:13:00,1.12034,1.12034,1.12035,1.12032,1.12046,1.12047,1.12047,1.12045,27
2022-03-01 01:14:00,1.12035,1.12045,1.12046,1.12034,1.12047,1.12057,1.12059,1.12046,61
2022-03-01 01:15:00,1.12044,1.12045,1.12045,1.12041,1.12057,1.12057,1.12058,1.12054,42
2022-03-01 01:16:00,1.12044,1.12046,1.12046,1.12041,1.12057,1.12058,1.12058,1.12054,38
2022-03-01 01:17:00,1.12045,1.12036,1.12046,1.12036,1.12058,1.12049,1.12058,1.12049,34
2022-03-01 01:18:00,1.12037,1.12043,1.12047,1.12036,1.12049,1.12055,1.12059,1.12049,42
2022-03-01 01:19:00,1.12044,1.12044,1.12045,1.12035,1.12056,1.12056,1.12057,1.12048,52
2022-03-01 01:20:00,1.12044,1.12041,1.12047,1.1204,1.12057,1.12053,1.12059,1.12053,53
2022-03-01 01:21:00,1.12041,1.12039,1.12044,1.12039,1.12054,1.12052,1.12056,1.12051,51
2022-03-01 01:22:00,1.1204,1.12039,1.12046,1.12038,1.12052,1.12052,1.12059,1.1205,85
2022-03-01 01:23:00,1.12039,1.12039,1.12041,1.12038,1.12051,1.12051,1.12054,1.12051,35
2022-03-01 01:24:00,1.12037,1.12038,1.1204,1.12035,1.1205,1.12051,1.12053,1.12048,42
2022-03-01 01:25:00,1.12039,1.12035,1.1204,1.12034,1.12051,1.12048,1.12053,1.12048,31
2022-03-01 01:26:00,1.12034,1.12037,1.12041,1.12034,1.12048,1.12049,1.12053,1.12047,61
2022-03-01 01:27:00,1.12036,1.12038,1.1204,1.12036,1.12049,1.12051,1.12053,1.12049,18
2022-03-01 01:28:00,1.12039,1.12037,1.12041,1.12036,1.12051,1.12049,1.12053,1.12049,54
2022-03-01 01:29:00,1.12037,1.12079,1.12079,1.12037,1.12051,1.12092,1.12092,1.1205,134
2022-03-01 01:30:00,1.12079,1.1209,1.12093,1.12077,1.12093,1.12104,1.12106,1.1209,165
2022-03-01 01:31:00,1.1209,1.12093,1.12097,1.12086,1.12103,1.12105,1.12109,1.12098,175
2022-03-01 01:32:00,1.12093,1.12091,1.12099,1.12085,1.12106,1.12104,1.12112,1.12097,128
2022-03-01 01:33:00,1.12091,1.12084,1.12091,1.1208,1.12103,1.12097,1.12103,1.12093,86
2022-03-01 01:34:00,1.12085,1.12074,1.12085,1.12071,1.12097,1.12086,1.12097,1.12084,111
2022-03-01 01:35:00,1.12073,1.12074,1.12076,1.12067,1.12086,1.12087,1.12088,1.12079,75
2022-03-01 01:36:00,1.12074,1.12074,1.12076,1.12073,1.12086,1.12087,1.12088,1.12085,30
2022-03-01 01:37:00,1.12075,1.12072,1.12076,1.12072,1.12087,1.12085,1.12088,1.12085,25
2022-03-01 01:38:00,1.12073,1.12076,1.12076,1.1207,1.12086,1.12089,1.12089,1.12083,37
2022-03-01 01:39:00,1.12076,1.12071,1.12076,1.12067,1.12088,1.12084,1.12088,1.1208,58
2022-03-01 01:40:00,1.12072,1.12068,1.12076,1.12068,1.12084,1.12081,1.12089,1.12081,61
2022-03-01 01:41:00,1.12067,1.12054,1.12067,1.12052,1.1208,1.12066,1.1208,1.12065,71
2022-03-01 01:42:00,1.12054,1.12023,1.12054,1.12018,1.12067,1.12037,1.12067,1.12033,117
2022-03-01 01:43:00,1.12024,1.12035,1.1204,1.12024,1.12037,1.12048,1.12053,1.12037,112
2022-03-01 01:44:00,1.12034,1.12029,1.12035,1.12025,1.12048,1.12043,1.12048,1.12039,95
2022-03-01 01:45:00,1.1203,1.12027,1.12034,1.12023,1.12043,1.1204,1.12046,1.12036,77
2022-03-01 01:46:00,1.12029,1.12029,1.12035,1.12028,1.12041,1.12042,1.12048,1.1204,71
2022-03-01 01:47:00,1.12029,1.12037,1.12044,1.12029,1.12041,1.1205,1.12058,1.12041,104
2022-03-01 01:48:00,1.12036,1.12042,1.12043,1.12036,1.12049,1.12056,1.12057,1.12049,47
2022-03-01 01:49:00,1.12041,1.12031,1.12045,1.12031,1.12055,1.12043,1.12058,1.12043,105
2022-03-01 01:50:00,1.1203,1.12022,1.12032,1.12021,1.12043,1.12035,1.12047,1.12034,158
2022-03-01 01:51:00,1.12021,1.1202,1.12023,1.12014,1.12035,1.12034,1.12036,1.12027,82
2022-03-01 01:52:00,1.1202,1.12019,1.12032,1.12018,1.12033,1.12032,1.12045,1.12031,123
2022-03-01 01:53:00,1.1202,1.12019,1.12023,1.12017,1.12032,1.12031,1.12036,1.1203,79
2022-03-01 01:54:00,1.12019,1.12022,1.12022,1.12018,1.12032,1.12034,1.12034,1.12031,50
2022-03-01 01:55:00,1.12021,1.12017,1.12021,1.12012,1.12033,1.12029,1.12033,1.12025,56
2022-03-01 01:56:00,1.12016,1.12018,1.12022,1.12016,1.12029,1.1203,1.12034,1.12028,42
2022-03-01 01:57:00,1.12017,1.12012,1.12018,1.12012,1.1203,1.12026,1.1203,1.12024,41
2022-03-01 01:58:00,1.12013,1.12017,1.12017,1.12012,1.12026,1.1203,1.1203,1.12025,47
2022-03-01 01:59:00,1.12016,1.12012,1.1202,1.12012,1.1203,1.12026,1.12032,1.12024,76
2022-03-01 02:00:00,1.12013,1.12026,1.12026,1.12012,1.12026,1.1204,1.1204,1.12025,83
2022-03-01 02:01:00,1.12026,1.12042,1.12042,1.12026,1.12039,1.12054,1.12055,1.12039,77
2022-03-01 02:02:00,1.12042,1.12043,1.12048,1.12042,1.12055,1.12055,1.1206,1.12054,107
2022-03-01 02:03:00,1.12042,1.12032,1.12043,1.12031,1.12055,1.12044,1.12056,1.12043,45
2022-03-01 02:04:00,1.12031,1.12033,1.12037,1.12027,1.12044,1.12045,1.12049,1.12039,72
2022-03-01 02:05:00,1.12034,1.12029,1.12034,1.12027,1.12046,1.12042,1.12047,1.12039,41
2022-03-01 02:06:00,1.1203,1.12024,1.1203,1.12024,1.12042,1.12037,1.12043,1.12037,52
2022-03-01 02:07:00,1.12024,1.12013,1.12024,1.12013,1.12036,1.12027,1.12037,1.12026,30
2022-03-01 02:08:00,1.12013,1.1201,1.12014,1.12006,1.12026,1.12022,1.12027,1.1202,88
2022-03-01 02:09:00,1.12009,1.12013,1.12015,1.12003,1.12022,1.12025,1.12029,1.12016,106
2022-03-01 02:10:00,1.12013,1.12007,1.12014,1.12007,1.12026,1.12019,1.12028,1.12019,63
2022-03-01 02:11:00,1.12007,1.11948,1.12007,1.11931,1.1202,1.11961,1.1202,1.11944,430
2022-03-01 02:12:00,1.11947,1.11925,1.11947,1.11924,1.11961,1.11938,1.11961,1.11938,199
2022-03-01 02:13:00,1.11925,1.11947,1.11953,1.11922,1.11939,1.1196,1.11968,1.11936,174
2022-03-01 02:14:00,1.11946,1.11944,1.11951,1.11937,1.11959,1.11956,1.11963,1.1195,93
2022-03-01 02:15:00,1.11943,1.11954,1.11961,1.1194,1.11957,1.11967,1.11974,1.11953,117
2022-03-01 02:16:00,1.11955,1.11957,1.11961,1.11955,1.11968,1.11969,1.11975,1.11967,66
2022-03-01 02:17:00,1.11956,1.1194,1.11957,1.11934,1.11969,1.11953,1.11969,1.11946,133
2022-03-01 02:18:00,1.11941,1.11946,1.11948,1.11938,1.11953,1.11959,1.1196,1.11951,135
2022-03-01 02:19:00,1.11947,1.11957,1.11961,1.11947,1.11959,1.1197,1.11973,1.11959,120
2022-03-01 02:20:00,1.11958,1.11949,1.1196,1.11948,1.1197,1.11961,1.11973,1.11961,32
