,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
149,2022-01-24 09:50:00,1.13233,1.13249,1.13232,37.21212574765906,,1.13249,BUY,1.13226,2022-01-24 10:18:00,SLPR,-6.899999999998574
150,2022-01-24 10:36:00,1.13179,1.13196,1.1317,33.10550880439267,,1.13186,BUY,1.1315,2022-01-24 10:45:00,SLPR,-10.80000000000414
151,2022-01-24 10:48:00,1.13152,1.1317,1.13152,32.03082409233848,,1.13154,BUY,1.13138,2022-01-24 11:25:00,SLPR,-4.799999999998139
152,2022-01-24 11:29:00,1.13107,1.13118,1.13106,32.599638025772464,,1.13114,BUY,1.13083,2022-01-24 11:48:00,SLPR,-9.300000000000974
153,2022-01-24 11:53:00,1.13043,1.1307,1.13042,37.671988932671745,,1.13066,BUY,1.13014,2022-01-24 11:57:00,SLPR,-15.600000000002279
154,2022-01-24 11:59:00,1.13013,1.13042,1.13013,36.82589110486443,,1.13036,BUY,1.12998,2022-01-24 12:35:00,SLPR,-11.400000000001409
155,2022-01-24 12:36:00,1.12998,1.13021,1.12997,39.48125491807286,,1.13017,BUY,1.13012,2022-01-24 12:51:00,SLPR,-1.4999999999965041
157,2022-01-24 13:47:00,1.12965,1.12976,1.12953,34.540002952414966,,1.12976,BUY,1.12948,2022-01-24 13:56:00,SLPR,-8.40000000000174
159,2022-01-24 15:17:00,1.13031,1.13031,1.12984,52.69680749266132,,1.12985,SELL,1.1305,2022-01-24 15:21:00,SLPR,-19.500000000001183
160,2022-01-24 15:26:00,1.13086,1.13092,1.13075,67.63588455398428,,1.13079,SELL,1.13115,2022-01-24 15:30:00,SLPR,-10.80000000000414
163,2022-01-24 17:32:00,1.1321,1.13216,1.13203,68.57630500687843,,1.13208,SELL,1.13234,2022-01-24 17:41:00,SLPR,-7.799999999997809
164,2022-01-24 17:50:00,1.13265,1.13265,1.13253,63.89737528270993,,1.13256,SELL,1.13281,2022-01-24 17:56:00,SLPR,-7.500000000002505
165,2022-01-24 17:57:00,1.13282,1.13284,1.13269,64.28110564478197,,1.13272,SELL,1.13298,2022-01-24 18:02:00,SLPR,-7.80000000000447
167,2022-01-24 19:21:00,1.13252,1.13256,1.13246,33.485869481549784,,1.13256,BUY,1.13231,2022-01-24 19:24:00,SLPR,-7.500000000002505
168,2022-01-24 19:27:00,1.13234,1.13237,1.13227,32.09652285224962,,1.13236,BUY,1.13192,2022-01-24 19:46:00,SLPR,-13.199999999999878
171,2022-01-24 21:16:00,1.13257,1.13258,1.13243,62.695266850860484,,1.13246,SELL,1.13276,2022-01-24 21:20:00,SLPR,-8.999999999999009
173,2022-01-24 21:48:00,1.13226,1.13235,1.13226,37.883531514311805,,1.13232,BUY,1.13218,2022-01-24 22:00:00,SLPR,-4.20000000000087
176,2022-01-25 00:07:00,1.13197,1.13205,1.13196,32.221238466400706,,1.13204,BUY,1.13178,2022-01-25 00:12:00,SLPR,-7.799999999997809
179,2022-01-25 01:40:00,1.13187,1.13197,1.13184,38.68517486981633,,1.13194,BUY,1.13164,2022-01-25 01:52:00,SLPR,-8.999999999999009
180,2022-01-25 01:53:00,1.13165,1.13173,1.13165,38.795851011306404,,1.13172,BUY,1.13149,2022-01-25 02:26:00,SLPR,-6.899999999998574
181,2022-01-25 02:34:00,1.13128,1.13135,1.13128,35.585496125090955,,1.13135,BUY,1.13102,2022-01-25 02:40:00,SLPR,-9.900000000004905
185,2022-01-25 03:26:00,1.13124,1.13125,1.13121,69.23771838623777,,1.13124,SELL,1.13143,2022-01-25 04:03:00,SLPR,-5.699999999997374
189,2022-01-25 05:35:00,1.13101,1.13103,1.13101,30.037926331782387,,1.13101,BUY,1.13081,2022-01-25 05:42:00,SLPR,-5.999999999999339
190,2022-01-25 05:46:00,1.13082,1.13091,1.13082,40.58288875864963,,1.1309,BUY,1.13059,2022-01-25 06:07:00,SLPR,-9.300000000000974
191,2022-01-25 06:11:00,1.13053,1.13065,1.13053,31.885010690893438,,1.13058,BUY,1.13034,2022-01-25 07:05:00,SLPR,-7.200000000000539
192,2022-01-25 07:16:00,1.13108,1.13114,1.13093,60.12657827409408,,1.13093,SELL,1.13141,2022-01-25 07:24:00,SLPR,-14.400000000001079
194,2022-01-25 07:41:00,1.13076,1.13084,1.13075,34.6864632895316,,1.13084,BUY,1.13073,2022-01-25 07:44:00,SLPR,-3.300000000001635
195,2022-01-25 07:44:00,1.13062,1.13082,1.13055,35.007496986753736,,1.13073,BUY,1.13045,2022-01-25 07:50:00,SLPR,-8.40000000000174
196,2022-01-25 07:53:00,1.13044,1.13061,1.13044,37.67154458564751,,1.13054,BUY,1.13032,2022-01-25 07:57:00,SLPR,-6.60000000000327
