,bidopen,max_bid,min_bid,small_sma_8,large_sma_16,rsi,sma_signal,sma_signal_1,entry_price,entry_signal,exit_price,exit_time,status,pl
2022-03-06 22:09:00,1.09284,1.09284,1.09247,1.09264125,1.092438125,49.916567350012876,,,1.09247,SELL,1.09239,2022-03-06 22:50:00,TGP,2.4000000000024
2022-03-06 22:50:00,1.09234,1.09244,1.09232,1.0924475,1.092524375,35.73578756602656,,,1.09239,BUY,0.0,0,0,0.0
2022-03-06 23:15:00,1.08767,1.08821,1.08756,1.08741125,1.088589375,33.122423868681295,,,1.08789,BUY,1.08712,2022-03-06 23:20:00,SL,-23.099999999998122
2022-03-06 23:23:00,1.0866,1.08704,1.0863,1.087495,1.087453125,30.316414203373597,,,1.08687,BUY,1.08739,2022-03-06 23:28:00,TG,15.600000000002279
2022-03-06 23:25:00,1.08634,1.08724,1.08633,1.08715625,1.087314375,42.45419883264958,,,1.08724,BUY,1.08799,2022-03-06 23:31:00,TG,22.500000000000853
2022-03-06 23:55:00,1.08648,1.08669,1.08648,1.086905,1.08734875,32.29297834713506,,,1.08664,BUY,1.08751,2022-03-07 00:01:00,TG,26.09999999999779
2022-03-07 00:07:00,1.08829,1.0883,1.08811,1.087925,1.08742,66.82327468473484,,,1.08817,SELL,1.08739,2022-03-07 00:30:00,TG,23.400000000000087
2022-03-07 00:10:00,1.08833,1.08833,1.08806,1.0882262500000002,1.0877087500000002,65.6801211714902,,,1.08824,SELL,1.08739,2022-03-07 00:30:00,TG,25.500000000000522
2022-03-07 00:29:00,1.08711,1.0872,1.08711,1.0873575,1.087745,31.911142773456206,,,1.08717,BUY,1.08683,2022-03-07 00:54:00,SLPR,-10.200000000000209
2022-03-07 01:25:00,1.083,1.08345,1.08282,1.0835012499999999,1.084344375,36.41017769244369,,,1.0834,BUY,1.08414,2022-03-07 01:32:00,TG,22.20000000000555
2022-03-07 03:32:00,1.08722,1.08739,1.08694,1.0868787500000001,1.08611625,67.33922628868532,,,1.087,SELL,1.08644,2022-03-07 04:25:00,TG,16.799999999996817
2022-03-07 05:17:00,1.08825,1.08841,1.08803,1.0876525,1.087585,66.33543145770707,,UP_CROSSOVER,1.08806,SELL,1.0874,2022-03-07 05:31:00,TG,19.80000000000315
2022-03-07 05:19:00,1.0885,1.0885,1.08817,1.0879375,1.08767,66.71204202908513,,,1.08831,SELL,1.08757,2022-03-07 05:26:00,TG,22.20000000000555
2022-03-07 05:36:00,1.08668,1.08701,1.08661,1.08721375,1.087543125,34.842015140879184,,,1.0869,BUY,1.08764,2022-03-07 05:56:00,TG,22.199999999998887
2022-03-07 05:56:00,1.08796,1.08796,1.08754,1.0873525,1.087193125,59.58329973066579,,,1.08764,SELL,1.08835,2022-03-07 06:05:00,SLPR,-21.299999999999653
2022-03-07 07:20:00,1.08929,1.08951,1.08897,1.0889125,1.0882937499999998,64.254916282848,,,1.08897,SELL,1.08783,2022-03-07 07:30:00,TG,34.199999999997566
2022-03-07 08:56:00,1.08564,1.08587,1.08552,1.0858575,1.0863906250000002,36.457061852814164,,,1.08587,BUY,1.08677,2022-03-07 09:08:00,TG,27.000000000003688
2022-03-07 09:46:00,1.08519,1.08553,1.08519,1.08575625,1.086009375,38.112539094441665,,,1.08551,BUY,1.08497,2022-03-07 10:06:00,SL,-16.199999999999548
2022-03-07 12:22:00,1.08779,1.08791,1.08731,1.08699875,1.086639375,63.94392187845003,,,1.08738,SELL,1.08805,2022-03-07 12:25:00,SL,-20.099999999998452
2022-03-07 12:30:00,1.08886,1.08886,1.08846,1.08824625,1.0876225,66.56583681045197,,,1.08865,SELL,1.08986,2022-03-07 12:53:00,SLPR,-36.30000000000466
2022-03-07 13:21:00,1.09079,1.09091,1.09031,1.08945125,1.089319375,63.713699815082414,UP_CROSSOVER,,1.09038,SELL,1.08981,2022-03-07 13:23:00,TG,17.099999999998783
2022-03-07 13:41:00,1.09164,1.09177,1.09145,1.09091,1.0905431250000002,69.38955083896418,,,1.09152,SELL,1.09044,2022-03-07 13:43:00,TG,32.399999999999096
2022-03-07 15:17:00,1.0878,1.08798,1.08769,1.08804875,1.0886056249999998,32.497329492429984,,,1.08794,BUY,1.08687,2022-03-07 15:25:00,SLPR,-32.09999999999713
2022-03-07 16:18:00,1.08623,1.08665,1.08619,1.08643375,1.086845,42.491607571358884,,,1.08659,BUY,1.08669,2022-03-07 16:48:00,TGP,2.9999999999996696
2022-03-07 16:34:00,1.08531,1.0855,1.08529,1.08579875,1.085926875,34.479214809700466,,,1.08547,BUY,1.08616,2022-03-07 16:42:00,TG,20.700000000002383
2022-03-07 16:48:00,1.08693,1.08693,1.08648,1.08635875,1.08584875,63.88213754784858,,,1.08669,SELL,1.08604,2022-03-07 16:56:00,TG,19.500000000001183
2022-03-07 17:48:00,1.08847,1.08855,1.08788,1.0880375,1.088035,50.09107603488323,,,1.08793,SELL,1.08875,2022-03-07 17:50:00,SLPR,-24.600000000001288
2022-03-07 18:27:00,1.08992,1.08996,1.08949,1.08890125,1.08857125,68.45102662864223,,,1.0895,SELL,1.08858,2022-03-07 18:43:00,TG,27.599999999994296
2022-03-07 18:29:00,1.08987,1.08993,1.08958,1.08931875,1.0887268749999999,67.47820970359342,,,1.08968,SELL,1.08887,2022-03-07 18:39:00,TG,24.299999999999322
2022-03-07 20:01:00,1.08476,1.08503,1.0847,1.085285,1.085533125,34.09519349068498,,,1.08494,BUY,1.08531,2022-03-07 20:08:00,TG,11.099999999999444
2022-03-07 22:16:00,1.08514,1.08514,1.08514,1.08506875,1.085100625,50.12315211062854,,,1.08514,BUY,1.08559,2022-03-07 23:09:00,TGP,13.500000000001844
2022-03-07 22:51:00,1.08527,1.08528,1.08519,1.0851825,1.0851531250000002,55.265550930401105,,,1.0852,SELL,0.0,0,0,0.0
2022-03-07 23:09:00,1.08564,1.08564,1.08558,1.08550375,1.08539625,67.89273096908599,,,1.08559,SELL,1.08518,2022-03-07 23:22:00,TGP,12.300000000000644
2022-03-07 23:22:00,1.08516,1.08527,1.08516,1.0854362499999999,1.0855499999999998,30.352375209892728,,,1.08518,BUY,1.08635,2022-03-08 00:00:00,TG,35.0999999999968
2022-03-08 00:20:00,1.08684,1.08685,1.08676,1.08654125,1.0864162499999999,67.00308937216099,,,1.08677,SELL,1.08605,2022-03-08 00:39:00,TG,21.600000000001618
2022-03-08 00:23:00,1.08689,1.08691,1.0868,1.0867399999999998,1.08653,65.55317070569662,,,1.08682,SELL,1.08605,2022-03-08 00:39:00,TG,23.099999999998122
2022-03-08 00:43:00,1.08544,1.08565,1.08543,1.08592,1.0860975000000002,31.38413338456573,,,1.08564,BUY,1.08531,2022-03-08 01:06:00,SLPR,-9.899999999998244
2022-03-08 00:48:00,1.08514,1.08536,1.08512,1.085425,1.0858056249999999,34.678001802815544,,,1.08536,BUY,1.0851,2022-03-08 00:55:00,SLPR,-7.80000000000447
2022-03-08 01:45:00,1.08718,1.08718,1.08704,1.0865,1.0864981249999999,68.26912695654715,,UP_CROSSOVER,1.08712,SELL,0.0,0,0,0.0
2022-03-08 01:51:00,1.08781,1.08781,1.08754,1.08752625,1.086911875,62.36215215711375,,,1.08754,SELL,1.088,2022-03-08 02:05:00,SLPR,-13.80000000000381
2022-03-08 02:07:00,1.08815,1.08821,1.08796,1.08776375,1.0875412500000001,68.04609020206023,,,1.08803,SELL,1.08725,2022-03-08 02:57:00,TG,23.400000000000087
2022-03-08 03:49:00,1.08679,1.08686,1.08678,1.0869250000000001,1.0871825,31.672125278542538,,,1.08684,BUY,1.0871,2022-03-08 04:30:00,TGP,7.799999999997809
2022-03-08 04:30:00,1.08716,1.08716,1.08697,1.08696375,1.08688375,66.65197729889641,,,1.0871,SELL,1.08597,2022-03-08 05:12:00,TG,33.8999999999956
2022-03-08 04:33:00,1.08719,1.08719,1.08714,1.0870725,1.0869587500000002,64.8789841517588,,,1.08714,SELL,1.08597,2022-03-08 05:12:00,TG,35.0999999999968
2022-03-08 05:12:00,1.08582,1.086,1.08582,1.08616625,1.0864662500000002,33.95956691677755,,,1.08597,BUY,1.08558,2022-03-08 05:46:00,SLPR,-11.700000000003374
2022-03-08 05:54:00,1.08648,1.08652,1.08607,1.0859975,1.0859356249999998,54.84629186891751,,,1.08612,SELL,1.08575,2022-03-08 06:19:00,TGP,11.099999999999444
2022-03-08 06:19:00,1.08561,1.08584,1.08556,1.08591875,1.086119375,37.20444999313871,,,1.08575,BUY,1.08563,2022-03-08 06:29:00,SLPR,-3.599999999996939
2022-03-08 07:57:00,1.08602,1.08652,1.08602,1.08643125,1.086785625,44.346092051233946,,,1.08645,BUY,1.09137,2022-03-08 08:30:00,TG,147.60000000000107
2022-03-08 08:17:00,1.0907,1.09082,1.0902,1.09003,1.0883475,67.65262994407584,,,1.0902,SELL,1.08948,2022-03-08 08:54:00,TG,21.600000000001618
