,Index,bidopen,max_bid,min_bid,rsi,sma_signal,entry_price,entry_signal,exit_price,exit_time,status,pl
30,2022-01-24 15:26:00,1.13086,1.13092,1.13075,67.63588455398428,,1.13079,SELL,1.13115,2022-01-24 15:30:00,SLP,-10.80000000000414
31,2022-01-24 15:44:00,1.13237,1.13241,1.13205,62.79007352932749,,1.13207,SELL,1.13135,2022-01-24 15:49:00,TG,21.599999999994957
32,2022-01-24 15:57:00,1.13057,1.13074,1.13049,30.927742069971217,,1.13066,BUY,1.13144,2022-01-24 16:10:00,TG,23.400000000000087
33,2022-01-24 17:32:00,1.1321,1.13216,1.13203,68.57630500687843,,1.13208,SELL,1.13222,2022-01-24 17:33:00,SLP,-4.20000000000087
34,2022-01-24 17:34:00,1.13222,1.13222,1.13217,69.95409825948374,,1.13218,SELL,1.13234,2022-01-24 17:41:00,SLP,-4.799999999998139
35,2022-01-24 17:50:00,1.13265,1.13265,1.13253,63.89737528270993,,1.13256,SELL,1.13281,2022-01-24 17:56:00,SLP,-7.500000000002505
36,2022-01-24 17:57:00,1.13282,1.13284,1.13269,64.28110564478197,,1.13272,SELL,1.13298,2022-01-24 18:02:00,SLP,-7.80000000000447
37,2022-01-24 18:09:00,1.13323,1.13327,1.13311,65.72273329679346,,1.13312,SELL,1.13277,2022-01-24 18:49:00,TGP,10.499999999995513
38,2022-01-24 19:21:00,1.13252,1.13256,1.13246,33.485869481549784,,1.13256,BUY,1.13231,2022-01-24 19:24:00,SLP,-7.500000000002505
39,2022-01-24 19:27:00,1.13234,1.13237,1.13227,32.09652285224962,,1.13236,BUY,1.13224,2022-01-24 19:29:00,SLP,-3.6000000000036003
40,2022-01-24 19:31:00,1.13224,1.13234,1.1322,35.3547252009201,,1.13232,BUY,1.13192,2022-01-24 19:46:00,SLP,-11.999999999998678
41,2022-01-24 19:49:00,1.13181,1.13194,1.1318,31.570318314435923,,1.13191,BUY,1.13177,2022-01-24 19:52:00,SLP,-4.20000000000087
42,2022-01-24 20:41:00,1.13237,1.13237,1.13222,59.98550274895992,,1.13223,SELL,1.13195,2022-01-24 21:01:00,TGP,8.40000000000174
43,2022-01-24 21:16:00,1.13257,1.13258,1.13243,62.695266850860484,,1.13246,SELL,1.13264,2022-01-24 21:19:00,SLP,-5.40000000000207
44,2022-01-24 21:23:00,1.13274,1.13274,1.13269,68.78391663382558,,1.1327,SELL,1.13232,2022-01-24 21:48:00,TGP,11.400000000001409
45,2022-01-24 21:48:00,1.13226,1.13235,1.13226,37.883531514311805,,1.13232,BUY,1.13266,2022-01-24 23:03:00,TGP,10.200000000000209
46,2022-01-24 23:03:00,1.13279,1.13281,1.13257,68.71042460509574,,1.13266,SELL,1.13277,2022-01-24 23:04:00,SLP,-3.300000000001635
47,2022-01-24 23:05:00,1.13277,1.13277,1.13262,63.77540874787706,,1.13267,SELL,1.13204,2022-01-25 00:07:00,TGP,18.900000000003914
48,2022-01-25 00:07:00,1.13197,1.13205,1.13196,32.221238466400706,,1.13204,BUY,1.13186,2022-01-25 00:09:00,SLP,-5.3999999999954085
49,2022-01-25 00:15:00,1.13168,1.13186,1.13168,40.77274980028125,,1.13186,BUY,1.13213,2022-01-25 00:45:00,TGP,8.099999999999774
50,2022-01-25 00:45:00,1.13224,1.13224,1.13211,57.955069653706126,,1.13213,SELL,1.13194,2022-01-25 01:40:00,TGP,5.700000000004035
51,2022-01-25 01:40:00,1.13187,1.13197,1.13184,38.68517486981633,,1.13194,BUY,1.13171,2022-01-25 01:45:00,SLP,-6.899999999998574
52,2022-01-25 01:46:00,1.13172,1.13182,1.13172,36.4876247283486,,1.1318,BUY,1.13164,2022-01-25 01:52:00,SLP,-4.799999999998139
53,2022-01-25 01:53:00,1.13165,1.13173,1.13165,38.795851011306404,,1.13172,BUY,1.13156,2022-01-25 02:00:00,SLP,-4.8000000000048
