,Index,bidopen,max_bid,min_bid,rsi,sma_signal,supertrend,supertrend_direction,entry_price,entry_signal,exit_price,exit_time,status,pl
0,2022-03-01 03:10:00,1.11992,1.11992,1.1198,56.819511757643994,,1.1196489589158085,1,1.1198,SELL,1.11942,2022-03-01 03:17:00,TGP,11.399999999994748
1,2022-03-01 03:17:00,1.11942,1.11946,1.11938,31.302165052396347,,1.1197350692199601,-1,1.11942,BUY,1.1199,2022-03-01 03:27:00,TGP,14.399999999994417
2,2022-03-01 03:27:00,1.12005,1.12005,1.11987,57.46670878286281,,1.1196719977412848,1,1.1199,SELL,1.11955,2022-03-01 03:38:00,TGP,10.499999999995513
3,2022-03-01 04:05:00,1.11913,1.11919,1.11913,38.05152428925495,,1.1193029024133752,-1,1.11918,BUY,1.11956,2022-03-01 04:21:00,TGP,11.400000000001409
4,2022-03-01 04:21:00,1.11959,1.11959,1.11956,69.40070062680849,,1.1193945368756393,1,1.11956,SELL,1.11948,2022-03-01 05:44:00,TGP,2.4000000000024
5,2022-03-01 05:44:00,1.11938,1.1195,1.11937,32.04713942141929,,1.1196481135711331,-1,1.11948,BUY,1.11977,2022-03-01 06:29:00,TGP,8.699999999997043
6,2022-03-01 06:50:00,1.1207,1.1207,1.12056,69.32246836329139,,1.1202501125917177,1,1.12056,SELL,1.12103,2022-03-01 07:05:00,SLPR,-14.099999999999113
7,2022-03-01 07:11:00,1.12139,1.12139,1.12099,58.06589180840027,,1.1206803588528012,1,1.12104,SELL,0.0,0,0,0.0
8,2022-03-01 07:29:00,1.12217,1.1222,1.1219,59.0843791440606,,1.1216432042205813,1,1.12191,SELL,1.12248,2022-03-01 07:51:00,SLPR,-17.099999999998783
9,2022-03-01 08:02:00,1.12314,1.12319,1.12261,57.03330565033135,,1.1222008204047116,1,1.12263,SELL,1.1218,2022-03-01 08:06:00,TG,24.900000000003253
10,2022-03-01 08:19:00,1.12116,1.12139,1.12116,37.71221779047942,,1.1221723870217921,-1,1.12135,BUY,1.12213,2022-03-01 08:49:00,TG,23.400000000000087
11,2022-03-01 09:52:00,1.11934,1.11976,1.11929,30.917582886777225,,1.1203847044559743,-1,1.11956,BUY,1.11896,2022-03-01 10:04:00,SLPR,-18.00000000000468
12,2022-03-01 10:16:00,1.11755,1.11793,1.11746,33.241849576323105,,1.1187426407654821,-1,1.11791,BUY,1.11815,2022-03-01 10:50:00,TGP,7.200000000000539
13,2022-03-01 10:53:00,1.11856,1.11859,1.1182,60.93195903499243,,1.117439664219733,1,1.11822,SELL,1.11754,2022-03-01 11:02:00,TG,20.400000000000418
14,2022-03-01 12:16:00,1.11694,1.1171,1.11681,36.78270849878283,,1.1177161055012075,-1,1.1171,BUY,1.11676,2022-03-01 12:37:00,SLPR,-10.200000000000209
15,2022-03-01 12:41:00,1.11665,1.11688,1.11663,41.70657652240629,,1.1173507725846128,-1,1.11685,BUY,0.0,0,0,0.0
16,2022-03-01 12:55:00,1.11578,1.11604,1.11561,36.92585246421244,,1.1165770898579594,-1,1.11603,BUY,1.11539,2022-03-01 13:16:00,SLPR,-19.199999999999218
17,2022-03-01 13:21:00,1.11469,1.11511,1.11465,32.41196375581923,,1.1158935646523716,-1,1.11505,BUY,1.11585,2022-03-01 13:33:00,TG,23.999999999997357
